specialty_id,specialty_name,minimum_total_gme_years,representative_total_gme_years,task_wrvu_per_total_physician_hour,nih_grants_per_active_physician_per_year,nih_funding_thousand_usd_per_active_physician_per_year,private_practice_percent,average_total_compensation_usd,physicians_per_1000_relevant_patients,candidates_per_position,female_resident_percent,procedure_profile,procedure_intensity
allergy-and-immunology,"Allergy and Immunology",5.000000000,5.000000000,2.451100111,6.3000001013e-2,31.39999962,39.20000076,368000.0000,6.1839506173e-2,1.361581921,64.91228100,predominantly-clinical,0.000000000
anesthesiology,"Anesthesiology",4.000000000,4.000000000,2.451100111,9.1000003740e-3,3.500000000,46.40000153,570000.0000,0.8400000000,1.304366812,37.70132700,procedure-dominant,1.000000000
colon-and-rectal-surgery,"Colon and Rectal Surgery",6.000000000,6.000000000,2.502799988,3.2000001520e-2,12.69999981,51.20000076,513000.0000,0.5040000000,1.413223140,42.24137900,procedure-dominant,1.000000000
dermatology,"Dermatology",4.000000000,4.000000000,2.200000048,1.8999999389e-2,6.500000000,43.59999847,536000.0000,0.1479289941,1.825581395,65.29653600,mixed-procedural-clinical,0.5000000000
emergency-medicine,"Emergency Medicine",3.000000000,3.000000000,2.451100111,3.1000000890e-3,1.399999976,33.20000076,440000.0000,0.3351716738,1.008130081,43.98721100,mixed-procedural-clinical,0.5000000000
family-medicine,"Family Medicine",3.000000000,3.000000000,2.451100111,1.7999999691e-3,0.8000000119,42.20000076,314000.0000,0.3574600783,0.8530322346,56.03989900,predominantly-clinical,0.000000000
internal-medicine,"Internal Medicine",3.000000000,3.000000000,2.451100111,6.3000001013e-2,31.39999962,38.90000153,327000.0000,0.4659001161,1.266936039,46.70982300,predominantly-clinical,0.000000000
medical-genetics-and-genomics,"Medical Genetics and Genomics",4.000000000,4.000000000,2.451100111,0.1120000035,47.79999924,43.59999847,240000.0000,5.3333333333e-2,0.4750000000,60.34482800,predominantly-clinical,0.000000000
clinical-biochemical-genetics,"Clinical Biochemical Genetics",2.000000000,2.000000000,2.451100111,0.1120000035,47.79999924,43.59999847,240000.0000,5.3333333333e-2,0.4750000000,50.00000000,predominantly-clinical,0.000000000
laboratory-genetics-and-genomics,"Laboratory Genetics and Genomics",2.000000000,2.000000000,2.451100111,0.1120000035,47.79999924,43.59999847,240000.0000,5.3333333333e-2,0.4750000000,60.00000000,predominantly-clinical,0.000000000
neurological-surgery,"Neurological Surgery",7.000000000,7.000000000,2.913100004,5.4999999702e-2,20.50000000,51.20000076,988000.0000,0.1970000000,1.714285714,27.36318400,procedure-dominant,1.000000000
neurology,"Neurology",4.000000000,4.000000000,3.345799923,1.4999999665e-2,5.800000191,51.20000076,370000.0000,0.1970000000,1.340476190,50.62079700,predominantly-clinical,0.000000000
child-neurology,"Child Neurology",5.000000000,5.000000000,3.345799923,1.4999999665e-2,5.800000191,51.20000076,370000.0000,0.1970000000,1.024691358,65.12096800,predominantly-clinical,0.000000000
nuclear-medicine,"Nuclear Medicine",4.000000000,4.000000000,3.119999886,2.5000000373e-2,10.30000019,43.59999847,376000.0000,0.3875000000,0.9771793943,45.71428600,predominantly-clinical,0.000000000
obstetrics-and-gynecology,"Obstetrics and Gynecology",4.000000000,4.000000000,3.734400034,9.9999997765e-3,4.099999905,46.29999924,410000.0000,0.2517857143,1.151404151,88.82007800,procedure-dominant,1.000000000
ophthalmology,"Ophthalmology",4.000000000,4.000000000,3.500000000,3.2000001520e-2,12.69999981,70.40000153,553000.0000,0.2037419355,0.9771793943,42.78495200,procedure-dominant,1.000000000
orthopaedic-surgery,"Orthopaedic Surgery",5.000000000,5.000000000,3.144399881,1.2000000104e-2,3.900000095,54.00000000,801000.0000,0.1609105181,1.659397715,23.93143800,procedure-dominant,1.000000000
osteopathic-neuromusculoskeletal-medicine,"Osteopathic Neuromusculoskeletal Medicine",1.000000000,3.000000000,2.451100111,1.2000000104e-2,3.900000095,43.59999847,242000.0000,0.3574600783,0.3000000000,36.55914000,mixed-procedural-clinical,0.5000000000
otolaryngology-head-and-neck-surgery,"Otolaryngology - Head and Neck Surgery",5.000000000,5.000000000,2.349999905,3.4000001848e-2,11.60000038,51.20000076,613000.0000,0.1200000000,1.439205955,45.37234000,procedure-dominant,1.000000000
pathology-anatomic-and-clinical,"Pathology - Anatomic and Clinical",4.000000000,4.000000000,2.451100111,0.1120000035,47.79999924,43.59999847,409000.0000,6.3272069901e-2,1.504716981,55.65917800,predominantly-clinical,0.000000000
pediatrics,"Pediatrics",3.000000000,3.000000000,2.599999905,2.9999999329e-2,13.60000038,38.09999847,265000.0000,0.8260958904,0.9485086342,75.61627000,predominantly-clinical,0.000000000
physical-medicine-and-rehabilitation,"Physical Medicine and Rehabilitation",4.000000000,4.000000000,2.451100111,1.2000000104e-2,3.900000095,43.59999847,348000.0000,0.1639344262,1.377703827,36.91796000,mixed-procedural-clinical,0.5000000000
plastic-surgery,"Plastic Surgery",6.000000000,6.000000000,2.502799988,2.3000000510e-4,0.1000000015,51.20000076,725000.0000,0.5040000000,0.9771793943,36.08247400,procedure-dominant,1.000000000
plastic-surgery-integrated,"Plastic Surgery - Integrated",6.000000000,6.000000000,2.502799988,2.3000000510e-4,0.1000000015,51.20000076,725000.0000,0.5040000000,1.765217391,60.00000000,procedure-dominant,1.000000000
public-health-and-general-preventive-medicine,"Public Health and General Preventive Medicine",2.000000000,3.000000000,2.451100111,1.7999999691e-3,0.8000000119,43.59999847,365000.0000,1.8077734257e-2,0.9682539683,61.53846200,predominantly-clinical,0.000000000
aerospace-medicine,"Aerospace Medicine",2.000000000,3.000000000,2.451100111,1.7999999691e-3,0.8000000119,43.59999847,365000.0000,1.8077734257e-2,0.9771793943,23.52941200,predominantly-clinical,0.000000000
occupational-and-environmental-medicine,"Occupational and Environmental Medicine",2.000000000,3.000000000,2.451100111,1.7999999691e-3,0.8000000119,43.59999847,365000.0000,1.8077734257e-2,0.8780487805,37.50000000,predominantly-clinical,0.000000000
psychiatry,"Psychiatry",4.000000000,4.000000000,2.450000048,5.0000000745e-2,21.70000076,45.20000076,351000.0000,0.7067796610,1.141494436,53.50971300,predominantly-clinical,0.000000000
radiation-oncology,"Radiation Oncology",5.000000000,5.000000000,1.994300008,2.5000000373e-2,10.30000019,43.59999847,647000.0000,0.2389000000,1.187165775,37.91208800,mixed-procedural-clinical,0.5000000000
diagnostic-radiology,"Diagnostic Radiology",5.000000000,5.000000000,3.119999886,2.5000000373e-2,10.30000019,46.90000153,691000.0000,0.3875000000,1.119085174,29.26470600,mixed-procedural-clinical,0.5000000000
interventional-radiology-independent,"Interventional Radiology - Independent",7.000000000,7.000000000,3.119999886,2.5000000373e-2,10.30000019,46.90000153,691000.0000,0.3875000000,0.6712328767,14.90683200,procedure-dominant,1.000000000
interventional-radiology-integrated,"Interventional Radiology - Integrated",6.000000000,6.000000000,3.119999886,2.5000000373e-2,10.30000019,46.90000153,691000.0000,0.3875000000,1.126530612,23.79778100,procedure-dominant,1.000000000
general-surgery,"General Surgery",5.000000000,5.000000000,2.502799988,3.2000001520e-2,12.69999981,31.70000076,513000.0000,0.5040000000,1.527393470,50.14472500,procedure-dominant,1.000000000
vascular-surgery-integrated,"Vascular Surgery - Integrated",5.000000000,5.000000000,2.502799988,3.2000001520e-2,12.69999981,51.20000076,513000.0000,0.4235294118,1.500000000,39.91228100,procedure-dominant,1.000000000
thoracic-surgery-independent,"Thoracic Surgery - Independent",7.000000000,7.000000000,2.502799988,3.2000001520e-2,12.69999981,51.20000076,513000.0000,0.5040000000,1.731958763,27.16535400,procedure-dominant,1.000000000
thoracic-surgery-integrated,"Thoracic Surgery - Integrated",6.000000000,6.000000000,2.502799988,3.2000001520e-2,12.69999981,51.20000076,513000.0000,0.5040000000,1.589285714,36.12167300,procedure-dominant,1.000000000
urology,"Urology",5.000000000,5.000000000,3.345799923,1.4999999665e-2,5.800000191,51.20000076,639000.0000,0.3054848485,0.9771793943,36.37311100,procedure-dominant,1.000000000
internal-medicine-pediatrics,"Internal Medicine/Pediatrics",4.000000000,4.000000000,2.599999905,2.9999999329e-2,13.60000038,38.09999847,265000.0000,0.8260958904,1.158415842,63.66580300,predominantly-clinical,0.000000000
adult-cardiothoracic-anesthesiology,"Adult Cardiothoracic Anesthesiology",5.000000000,5.000000000,2.451100111,9.1000003740e-3,3.500000000,46.40000153,570000.0000,0.8400000000,1.304366812,33.96946600,procedure-dominant,1.000000000
anesthesiology-critical-care-medicine,"Anesthesiology Critical Care Medicine",5.000000000,5.000000000,2.451100111,9.1000003740e-3,3.500000000,46.40000153,570000.0000,0.8400000000,1.304366812,39.77272700,procedure-dominant,1.000000000
obstetric-anesthesiology,"Obstetric Anesthesiology",5.000000000,5.000000000,3.734400034,9.1000003740e-3,3.500000000,46.40000153,570000.0000,0.8400000000,1.304366812,69.04761900,procedure-dominant,1.000000000
pain-medicine,"Pain Medicine",4.000000000,5.000000000,2.451100111,1.2000000104e-2,3.900000095,43.59999847,348000.0000,0.1531007752,0.9102564103,22.16867500,procedure-dominant,1.000000000
pediatric-anesthesiology,"Pediatric Anesthesiology",5.000000000,5.000000000,2.599999905,9.1000003740e-3,3.500000000,46.40000153,570000.0000,0.8260958904,1.304366812,51.70068000,procedure-dominant,1.000000000
pediatric-cardiac-anesthesiology,"Pediatric Cardiac Anesthesiology",5.000000000,5.000000000,2.599999905,9.1000003740e-3,3.500000000,46.40000153,570000.0000,0.8400000000,1.304366812,36.36363600,procedure-dominant,1.000000000
regional-anesthesiology-and-acute-pain-medicine,"Regional Anesthesiology and Acute Pain Medicine",5.000000000,5.000000000,2.451100111,9.1000003740e-3,3.500000000,46.40000153,570000.0000,0.8400000000,1.304366812,46.15384600,procedure-dominant,1.000000000
dermatopathology,"Dermatopathology",5.000000000,5.000000000,2.200000048,0.1120000035,47.79999924,43.59999847,536000.0000,6.3272069901e-2,0.9771793943,50.70422500,predominantly-clinical,0.000000000
micrographic-surgery-and-dermatologic-oncology,"Micrographic Surgery and Dermatologic Oncology",5.000000000,5.000000000,2.200000048,1.8999999389e-2,6.500000000,51.20000076,536000.0000,0.1479289941,1.825581395,50.51546400,procedure-dominant,1.000000000
pediatric-dermatology,"Pediatric Dermatology",5.000000000,5.000000000,2.200000048,2.9999999329e-2,13.60000038,38.09999847,536000.0000,0.8260958904,1.825581395,82.35294100,predominantly-clinical,0.000000000
emergency-medical-services,"Emergency Medical Services",4.000000000,4.000000000,2.451100111,6.3000001013e-2,31.39999962,33.20000076,440000.0000,0.3351716738,0.8680555556,28.84615400,mixed-procedural-clinical,0.5000000000
