specialty_id,specialty_name,training_duration_z,clinical_work_intensity_z,scientific_activity_index_z,private_practice_z,salary_z,workforce_burden_z,competitiveness_z,female_representation_z,procedure_intensity_z
allergy-and-immunology,"Allergy and Immunology",-8.0216877162e-2,-0.6182672911,0.7724896895,-0.7266750932,-0.4903809174,-1.617677307,0.5168322934,0.7511368545,-0.9691641601
anesthesiology,"Anesthesiology",-0.7971552610,-0.6182672911,-0.9710728993,0.3614276052,0.7382544532,1.008104707,0.4207775525,-0.6174198366,1.266166080
colon-and-rectal-surgery,"Colon and Rectal Surgery",0.6367214322,-0.4590404405,0.1054600302,1.086829185,0.4424056506,0.4939655789,0.6001250703,-0.3890809645,1.266166080
dermatology,"Dermatology",-0.7971552610,-1.442731625,-0.3967864419,-6.1723858118e-2,0.5655583341,-0.7398298183,1.172982308,0.7704627022,0.1485009600
emergency-medicine,"Emergency Medicine",-1.514093637,-0.6182672911,-1.815587519,-1.633427262,1.1379646538e-2,8.3386083327e-2,-0.1556485287,-0.3012755144,0.1485009600
family-medicine,"Family Medicine",-1.514093637,-0.6182672911,-2.281991202,-0.2732990086,-0.9359769936,0.1481845210,-0.5294345543,0.3049063493,-0.9691641601
internal-medicine,"Internal Medicine",-1.514093637,-0.6182672911,0.7724896895,-0.7720125914,-0.8220656955,0.4148507024,0.3556298007,-0.1643435689,-0.9691641601
medical-genetics-and-genomics,"Medical Genetics and Genomics",-0.7971552610,-0.6182672911,1.195067731,-6.1723858118e-2,-1.690629409,-1.766618087,-1.839452145,0.5214198676,-0.9691641601
clinical-biochemical-genetics,"Clinical Biochemical Genetics",-2.231031895,-0.6182672911,1.195067731,-6.1723858118e-2,-1.690629409,-1.766618087,-1.839452145,1.1336778026e-3,-0.9691641601
laboratory-genetics-and-genomics,"Laboratory Genetics and Genomics",-2.231031895,-0.6182672911,1.195067731,-6.1723858118e-2,-1.690629409,-1.766618087,-1.839452145,0.5040769745,-0.9691641601
neurological-surgery,"Neurological Surgery",1.353659749,0.6989956643,0.5376248410,1.086829185,2.282766163,-0.4515002630,1.032239019,-1.137369809,1.266166080
neurology,"Neurology",-0.7971552610,1.755424903,-0.5461603479,1.086829185,-0.4751615493,-0.4515002630,0.4818774215,3.2356246778e-2,-0.9691641601
child-neurology,"Child Neurology",-8.0216877162e-2,1.755424903,-0.5461603479,1.086829185,-0.4751615493,-0.4515002630,-0.1191901484,0.7616326273,-0.9691641601
nuclear-medicine,"Nuclear Medicine",-0.7971552610,1.222413289,-8.7890936323e-2,-6.1723858118e-2,-0.4299922127,0.2294000980,-0.2254188056,-0.2144134350,-0.9691641601
obstetrics-and-gynecology,"Obstetrics and Gynecology",-0.7971552610,2.593633929,-0.8649094203,0.3463147283,-0.1869121194,-0.2045339671,0.1416817295,1.953563479,1.266166080
ophthalmology,"Ophthalmology",-0.7971552610,2.099134871,0.1054600302,3.988436222,0.6532338334,-0.4176315450,-0.2254188056,-0.3617423249,1.266166080
orthopaedic-surgery,"Orthopaedic Surgery",-8.0216877162e-2,1.281838503,-0.8066467081,1.509980202,1.693593708,-0.6551681610,0.9594267486,-1.309967173,1.266166080
osteopathic-neuromusculoskeletal-medicine,"Osteopathic Neuromusculoskeletal Medicine",-2.947970152,-0.6182672911,-0.8066467081,-6.1723858118e-2,-1.667326648,0.1481845210,-2.867656065,-0.6748653661,0.1485009600
otolaryngology-head-and-neck-surgery,"Otolaryngology - Head and Neck Surgery",-8.0216877162e-2,-0.9395843387,9.4286574618e-2,1.086829185,0.9424738587,-0.9504277179,0.6408890459,-0.2316113798,1.266166080
pathology-anatomic-and-clinical,"Pathology - Anatomic and Clinical",-0.7971552610,-0.6182672911,1.195067731,-6.1723858118e-2,-0.1937691839,-1.594627175,0.7404875568,0.2857582418,-0.9691641601
pediatrics,"Pediatrics",-1.514093637,-0.1683918882,0.1058006860,-0.8929133415,-1.412385470,0.9913054047,-0.2920501459,1.289486806,-0.9691641601
physical-medicine-and-rehabilitation,"Physical Medicine and Rehabilitation",-0.7971552610,-0.6182672911,-0.8066467081,-6.1723858118e-2,-0.6472913748,-0.6364293077,0.5431699568,-0.6568187547,0.1485009600
plastic-surgery,"Plastic Surgery",0.6367214322,-0.4590404405,-4.031292559,1.086829185,1.413669511,0.4939655789,-0.2254188056,-0.6988389630,1.266166080
plastic-surgery-integrated,"Plastic Surgery - Integrated",0.6367214322,-0.4590404405,-4.031292559,1.086829185,1.413669511,0.4939655789,1.097747111,0.5040769745,1.266166080
public-health-and-general-preventive-medicine,"Public Health and General Preventive Medicine",-2.231031895,-0.6182672911,-2.281991202,-6.1723858118e-2,-0.5133657650,-2.855516274,-0.2459497451,0.5814528895,-0.9691641601
