specialty_id,specialty_name,x,y,cluster_id,cluster_name,representative_total_gme_years,average_total_compensation_usd,female_resident_percent,procedure_profile,procedure_intensity,training_duration_z,clinical_work_intensity_z,scientific_activity_index_z,private_practice_z,salary_z,workforce_burden_z,competitiveness_z,female_representation_z,procedure_intensity_z
allergy-and-immunology,Allergy and Immunology,0.802558619212,-11.0556089184,1,Cluster 1: predominantly clinical + research-intensive,5.00000000000,368000.000000,64.9122772217,predominantly-clinical,0.00000000000,-8.021687716246e-2,-0.618267297745,0.772489666939,-0.726675093174,-0.490380913019,-1.61767733097,0.516832292080,0.751136839390,-0.969164133072
anesthesiology,Anesthesiology,-1.95519803885,-8.36512314850,2,Cluster 2: research-light + procedure-oriented,4.00000000000,570000.000000,37.7013282776,procedure-dominant,1.00000000000,-0.797155261040,-0.618267297745,-0.971072912216,0.361427605152,0.738254427910,1.00810468197,0.420777559280,-0.617419838905,1.26616609097
colon-and-rectal-surgery,Colon and Rectal Surgery,-3.30790259369,-7.96136282551,3,Cluster 3: procedure-oriented + long training,6.00000000000,513000.000000,42.2413787842,procedure-dominant,1.00000000000,0.636721432209,-0.459040433168,0.105460032821,1.08682918549,0.442405641079,0.493965566158,0.600125074387,-0.389080971479,1.26616609097
dermatology,Dermatology,-2.29100570881,-9.36302981614,noise,Unclustered,4.00000000000,536000.000000,65.2965393066,mixed-procedural-clinical,0.500000000000,-0.797155261040,-1.44273161888,-0.396786451340,-6.172385811806e-2,0.565558314323,-0.739829838276,1.17298233509,0.770462691784,0.148500964046
emergency-medicine,Emergency Medicine,-0.782972130679,-10.4410543945,4,Cluster 4: short training + research-light,3.00000000000,440000.000000,43.9872093201,mixed-procedural-clinical,0.500000000000,-1.51409363747,-0.618267297745,-1.81558752060,-1.63342726231,1.137964613736e-2,8.338608592749e-2,-0.155648529530,-0.301275521517,0.148500964046
family-medicine,Family Medicine,-0.570736484744,-10.5379607683,4,Cluster 4: short training + research-light,3.00000000000,314000.000000,56.0398979187,predominantly-clinical,0.00000000000,-1.51409363747,-0.618267297745,-2.28199124336,-0.273299008608,-0.935976982117,0.148184522986,-0.529434561729,0.304906338453,-0.969164133072
internal-medicine,Internal Medicine,1.99263702118,-9.74013943944,1,Cluster 1: predominantly clinical + research-intensive,3.00000000000,327000.000000,46.7098236084,predominantly-clinical,0.00000000000,-1.51409363747,-0.618267297745,0.772489666939,-0.772012591362,-0.822065711021,0.414850711823,0.355629801750,-0.164343565702,-0.969164133072
medical-genetics-and-genomics,Medical Genetics and Genomics,1.50714288793,-11.7165652149,1,Cluster 1: predominantly clinical + research-intensive,4.00000000000,240000.000000,60.3448295593,predominantly-clinical,0.00000000000,-0.797155261040,-0.618267297745,1.19506776333,-6.172385811806e-2,-1.69062936306,-1.76661813259,-1.83945214748,0.521419882774,-0.969164133072
clinical-biochemical-genetics,Clinical Biochemical Genetics,1.36139624680,-11.7096064090,1,Cluster 1: predominantly clinical + research-intensive,2.00000000000,240000.000000,50.0000000000,predominantly-clinical,0.00000000000,-2.23103189468,-0.618267297745,1.19506776333,-6.172385811806e-2,-1.69062936306,-1.76661813259,-1.83945214748,1.133677782491e-3,-0.969164133072
laboratory-genetics-and-genomics,Laboratory Genetics and Genomics,1.32406588269,-11.6795204908,1,Cluster 1: predominantly clinical + research-intensive,2.00000000000,240000.000000,60.0000000000,predominantly-clinical,0.00000000000,-2.23103189468,-0.618267297745,1.19506776333,-6.172385811806e-2,-1.69062936306,-1.76661813259,-1.83945214748,0.504076957703,-0.969164133072
neurological-surgery,Neurological Surgery,-2.07581858418,-4.88523517218,5,Cluster 5: higher compensation + high clinical intensity,7.00000000000,988000.000000,27.3631839752,procedure-dominant,1.00000000000,1.35365974903,0.698995649815,0.537624835968,1.08682918549,2.28276610374,-0.451500266790,1.03223896027,-1.13736975193,1.26616609097
